step,time_s,n_nodes,n_segments,total_line_length_b
0,0.000000e+00,92,92,69.6743
10,1.000000e-09,92,92,75.9500
20,2.000000e-09,92,92,82.2290
30,3.000000e-09,92,92,88.5080
40,4.000000e-09,82,84,85.4181
50,5.000000e-09,110,112,79.9561
60,6.000000e-09,100,102,77.6271
70,7.000000e-09,95,97,79.0745
80,8.000000e-09,94,96,81.3898
90,9.000000e-09,94,96,87.3572
100,1.000000e-08,103,108,101.8221
110,1.100000e-08,123,131,123.5075
120,1.200000e-08,153,168,152.9834
130,1.300000e-08,137,145,129.2411
140,1.400000e-08,114,119,105.6964
150,1.500000e-08,123,127,99.3005
