step,time_s,n_nodes,n_segments,total_line_length_b
0,0.000000e+00,66,66,50.2465
5,5.000000e-10,66,66,53.3869
10,1.000000e-09,66,66,56.5273
15,1.500000e-09,66,66,59.6677
20,2.000000e-09,66,66,62.8081
25,2.500000e-09,66,66,65.9485
30,3.000000e-09,66,66,69.0889
35,3.500000e-09,66,66,72.2293
40,4.000000e-09,66,66,75.3697
45,4.500000e-09,66,66,78.5102
50,5.000000e-09,66,66,81.6506
55,5.500000e-09,132,132,84.7910
60,6.000000e-09,132,132,87.9314
65,6.500000e-09,132,132,91.0719
70,7.000000e-09,132,132,94.2125
75,7.500000e-09,132,132,97.3531
