step,time_s,n_nodes,n_segments,total_line_length_b
0,0.000000e+00,50,50,37.6743
5,5.000000e-10,50,50,40.8138
10,1.000000e-09,50,50,43.9534
15,1.500000e-09,50,50,47.0929
20,2.000000e-09,50,50,50.2324
25,2.500000e-09,50,50,53.3719
30,3.000000e-09,50,50,56.5115
35,3.500000e-09,50,50,59.6510
40,4.000000e-09,50,50,62.7905
45,4.500000e-09,100,100,65.9300
50,5.000000e-09,100,100,69.0697
55,5.500000e-09,100,100,72.2095
60,6.000000e-09,100,100,75.3494
65,6.500000e-09,100,100,78.4894
70,7.000000e-09,100,100,81.6295
75,7.500000e-09,100,100,84.7696
80,8.000000e-09,100,100,87.9099
85,8.500000e-09,100,100,91.0501
90,9.000000e-09,100,100,94.1905
