step,time_s,n_nodes,n_segments,total_line_length_b
0,0.000000e+00,100,100,75.3486
5,5.000000e-10,100,100,81.6277
10,1.000000e-09,100,100,87.9067
15,1.500000e-09,100,100,94.1858
20,2.000000e-09,100,100,100.4648
25,2.500000e-09,100,100,106.7439
30,3.000000e-09,100,100,113.0229
35,3.500000e-09,100,100,119.3020
40,4.000000e-09,100,100,125.5810
45,4.500000e-09,200,200,131.8601
50,5.000000e-09,200,200,138.1394
55,5.500000e-09,200,200,144.4190
60,6.000000e-09,200,200,150.6988
65,6.500000e-09,200,200,156.9788
70,7.000000e-09,200,200,163.2590
75,7.500000e-09,200,200,169.5393
80,8.000000e-09,200,200,175.8197
85,8.500000e-09,200,200,182.1003
90,9.000000e-09,200,200,188.3810
95,9.500000e-09,200,200,194.6617
100,1.000000e-08,194,200,200.9764
