step,time_s,n_nodes,n_segments,total_line_length_b
0,0.000000e+00,100,100,75.3486
10,1.000000e-09,100,100,87.9067
20,2.000000e-09,90,90,90.0697
30,3.000000e-09,72,72,80.7246
40,4.000000e-09,64,64,74.7951
50,5.000000e-09,104,104,71.8967
60,6.000000e-09,96,96,70.9221
70,7.000000e-09,88,88,69.8438
80,8.000000e-09,80,80,68.8942
90,9.000000e-09,74,74,67.6878
100,1.000000e-08,66,68,67.1676
110,1.100000e-08,35,35,31.7214
120,1.200000e-08,15,15,12.8392
130,1.300000e-08,20,20,17.2550
140,1.400000e-08,24,26,21.4632
150,1.500000e-08,26,28,26.7794
