step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,69,69,20674.72123842305,1212884314890.7578,5.980199567345569e-08
3,1.82e-12,121,121,20676.13435559664,1212967215532.328,5.98019956734557e-08
6,4.96496e-12,121,121,20678.568393203608,1213110008559.6824,5.980199567345569e-08
9,1.039945088e-11,121,121,20682.776051353947,1213356851190.0674,5.98019956734557e-08
12,1.9790251120639998e-11,121,121,20690.05173480587,1213783679790.9072,5.98019956734557e-08
15,3.601755393646592e-11,121,121,20702.63834432665,1214522074330.2751,5.980199567345572e-08
18,6.40583332022131e-11,121,121,20724.429191930863,1215800436295.234,5.980199567345569e-08
21,1.1251279977342424e-10,123,123,20762.201011458175,1218016323364.3384,5.98019956734557e-08
24,1.9624211800847706e-10,138,138,20820.159659913566,1221416472503.6248,5.98019956734557e-08
27,3.409263799186483e-10,138,138,20925.4956317375,1227596016428.0957,5.980199567345569e-08
30,5.909407844994243e-10,138,138,21127.19581205032,1239428775002.7266,5.98019956734557e-08
33,8.909407844994242e-10,138,138,21375.909570055228,1254019589190.8794,5.980199567345572e-08
36,1.1909407844994243e-09,138,138,21629.2288795829,1268880588458.6262,5.980199567345568e-08
39,1.4909407844994245e-09,138,138,21886.967991150064,1284000875796.4175,5.980199567345573e-08
42,1.7909407844994247e-09,138,138,22148.448047477294,1299340625983.068,5.980199567345569e-08
45,2.090940784499425e-09,138,138,22414.803900040133,1314966415178.834,5.980199567345569e-08
48,2.390940784499425e-09,137,138,22684.809220173538,1330806300706.202,5.980199567345569e-08
51,2.6909407844994253e-09,138,138,22961.940363504516,1347064223269.5884,5.980199567345572e-08
54,2.9909407844994255e-09,138,138,23245.454462762955,1363696602496.152,5.98019956734557e-08
57,3.2909407844994258e-09,138,138,23531.792303973325,1380494636789.2727,5.980199567345572e-08
60,3.590940784499426e-09,138,138,23820.86883194263,1397453336378.6748,5.980199567345572e-08
63,3.890940784499426e-09,138,138,24112.637490650304,1414569970051.3735,5.980199567345572e-08
66,4.190940784499426e-09,139,139,24406.775380551255,1431825594877.5461,5.98019956734557e-08
69,4.4909407844994266e-09,144,144,24702.160085161042,1449154364196.768,5.980199567345572e-08
72,4.790940784499427e-09,146,146,24999.794655112157,1466615122061.4045,5.980199567345572e-08
75,5.090940784499427e-09,150,150,25301.473855047225,1484313158494.903,5.980199567345569e-08
78,5.390940784499427e-09,150,150,25604.4322479706,1502086238896.0247,5.980199567345569e-08
81,5.690940784499427e-09,152,152,25910.539088186168,1520044023230.6565,5.98019956734557e-08
84,5.990940784499428e-09,154,154,26218.40173399879,1538104812052.948,5.980199567345569e-08
87,6.290940784499428e-09,156,156,26528.877468076782,1556318897925.0007,5.98019956734557e-08
90,6.590940784499428e-09,158,158,26840.71344139843,1574612782350.277,5.980199567345569e-08
93,6.890940784499428e-09,160,160,27154.872024068,1593042922854.4253,5.980199567345573e-08
96,7.1909407844994284e-09,162,162,27470.361309786087,1611551129168.3472,5.98019956734557e-08
99,7.490940784499428e-09,165,165,27787.367939289314,1630148350587.0469,5.98019956734557e-08
102,7.790940784499426e-09,170,170,28105.992617059655,1648840494947.6956,5.98019956734557e-08
105,8.090940784499423e-09,170,170,28426.628465512436,1667650624810.8892,5.980199567345572e-08
108,8.390940784499421e-09,170,170,28748.829915592905,1686552600829.3801,5.980199567345572e-08
111,8.690940784499419e-09,170,170,29072.44674869909,1705537610415.853,5.98019956734557e-08
114,8.990940784499416e-09,171,171,29397.445444958506,1724603687124.08,5.980199567345572e-08
117,9.290940784499414e-09,171,171,29723.662676509834,1743741249310.91,5.980199567345572e-08
120,9.590940784499412e-09,170,170,30051.23051518282,1762958044981.691,5.980199567345569e-08
123,9.89094078449941e-09,170,170,30380.17337823124,1782255506576.734,5.980199567345569e-08
126,1.0190940784499407e-08,175,175,30710.07473606192,1801609198351.3232,5.980199567345572e-08
129,1.0490940784499405e-08,177,177,31040.859159465854,1821014695244.3694,5.980199567345566e-08
132,1.0790940784499403e-08,178,178,31374.03268232302,1840560348864.083,5.98019956734557e-08
135,1.0890940784499404e-08,177,178,31485.308662676318,1847088363904.198,5.980199567345572e-08
138,1.1000140784499402e-08,179,179,31605.596439913883,1854145056790.261,5.98019956734557e-08
141,1.1188838384499401e-08,179,179,31813.707337698077,1866353900661.4507,5.98019956734557e-08
144,1.14784179044994e-08,183,183,32134.640098771964,1885181448929.3176,5.98019956734557e-08
147,1.1778417904499398e-08,183,183,32468.071639063844,1904742239164.2207,5.98019956734557e-08
150,1.2078417904499396e-08,185,185,32802.76007778529,1924376765454.5247,5.98019956734557e-08
