step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,17,17,4997.986884610714,293207334138.4714,5.851177058310501e-25
2,1.1e-12,17,17,4999.517170402747,293297108487.20636,3.3393300407393223e-25
4,2.684e-12,17,17,5001.721007921558,293426396806.4204,8.928354078582475e-25
6,4.96496e-12,17,17,5004.895002140688,293612599452.6153,8.72968445015655e-25
8,8.2495424e-12,17,17,5009.466523398477,293880788143.7623,4.7298125612001435e-25
10,1.2979341055999999e-11,17,17,5016.051521274646,294267097615.38654,8.15463566126663e-25
12,1.9790251120639998e-11,17,17,5025.5380696712145,294823626799.9865,6.133360833484131e-25
14,2.9597961613721594e-11,17,17,5039.207274647796,295625531895.67944,6.809386316707973e-25
16,4.37210647237591e-11,17,17,5058.908613147433,296781312627.76276,4.236384288125362e-25
18,6.40583332022131e-11,17,17,5087.31491781721,298447770955.3338,5.595240892067044e-25
20,9.334399981118687e-11,34,34,5126.604372103361,300752690199.21356,1.1340477451132775e-24
22,1.355153597281091e-10,34,34,5178.6442528169355,303805614315.49994,3.513216572264514e-25
24,1.9624211800847706e-10,34,34,5259.657166307784,308558243912.9448,9.877551878793139e-25
26,2.8368864993220693e-10,34,34,5382.115595762016,315742278299.5929,1.4637984138392318e-24
28,4.0961165590237797e-10,34,34,5563.22308345974,326366964775.6363,2.250943800726418e-24
30,5.909407844994243e-10,34,34,5828.330109715675,341919491467.7776,1.1758721147109136e-24
32,7.909407844994243e-10,34,34,6124.700095455788,359306062389.97876,7.1095890939883695e-25
34,9.909407844994242e-10,34,34,6424.541585308964,376896289402.11005,8.97336965868044e-25
36,1.1909407844994243e-09,34,34,6727.466001947854,394667376581.55524,2.464324996816703e-24
38,1.3909407844994245e-09,34,34,7033.180114809763,412602121531.91736,3.514262016885858e-24
40,1.5909407844994246e-09,34,34,7341.434077326168,430685866982.58093,1.4292616193469817e-24
42,1.7909407844994247e-09,34,34,7652.007365297564,448905675862.2526,1.5600130282105874e-24
44,1.990940784499425e-09,34,34,7964.738175692843,467252055982.0767,2.0735809437099745e-24
46,2.190940784499425e-09,34,34,8279.504725833373,485717862950.64716,2.017552113752406e-24
48,2.390940784499425e-09,34,34,8596.19154071009,504296322416.5403,9.75970166629434e-25
50,2.5909407844994253e-09,34,34,8914.683972292078,522980708543.0773,1.0083663091661079e-24
52,2.7909407844994254e-09,34,34,9234.879865347417,541765028384.716,9.704972172017589e-25
54,2.9909407844994255e-09,42,42,9555.443939570658,560570947606.5077,2.299321134230579e-24
56,3.1909407844994257e-09,46,46,9877.058682230247,579438504383.2585,3.265287292711436e-24
58,3.390940784499426e-09,50,50,10201.28144586523,598459060936.7649,3.4020892480627174e-24
60,3.590940784499426e-09,53,53,10526.928293730856,617563161515.1948,3.446501184543423e-24
62,3.790940784499426e-09,54,54,10854.25421851276,636765765286.5706,1.2462431187468789e-24
64,3.990940784499426e-09,62,62,11183.125846924935,656059047895.4988,6.619962142383702e-25
66,4.190940784499426e-09,68,68,11513.192882786958,675422459186.1687,8.38122729743368e-25
68,4.3909407844994265e-09,68,68,11844.276567292087,694845512257.676,1.669548136289382e-24
70,4.590940784499427e-09,68,68,12177.763881637347,714409574482.2587,1.8287376597230692e-24
72,4.790940784499427e-09,68,68,12512.297535790332,734035020322.4269,1.9227401627198862e-24
74,4.990940784499427e-09,68,68,12847.828697191591,753718985011.8441,2.6268140092756524e-24
76,5.190940784499427e-09,68,68,13184.310146651402,773458698432.6497,1.3968967830033103e-24
78,5.390940784499427e-09,68,68,13521.697631140592,793251564477.0481,2.1793036776242713e-24
80,5.590940784499427e-09,68,68,13859.95301822593,813095346102.5361,2.3040890525110256e-24
82,5.7909407844994275e-09,68,68,14199.05616687986,832988861733.9854,3.466110155114579e-24
84,5.990940784499428e-09,68,68,14539.001448544112,852931781171.536,2.7970130937675204e-24
86,6.190940784499428e-09,68,68,14879.773557364739,872923206495.9391,2.457533228531027e-24
88,6.390940784499428e-09,68,68,15221.349723025483,892961801884.6161,2.618480120824984e-24
90,6.590940784499428e-09,68,68,15563.715209954962,913046702873.9933,2.1920767552644528e-24
92,6.790940784499428e-09,68,68,15906.851025878434,933176795280.6257,1.58059888570187e-24
94,6.990940784499428e-09,68,68,16250.734264388413,953350735298.1311,1.4466330863243464e-24
96,7.1909407844994284e-09,70,70,16595.34230751961,973567196041.6139,1.524162298055081e-24
98,7.3909407844994286e-09,76,76,16940.22069634085,993799516638.4539,2.207107169623733e-24
100,7.590940784499427e-09,78,78,17285.687478342454,1014066355372.2607,1.1933921712572644e-24
