step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,34,34,9995.973769221428,586414668276.9427,5.601802302579554e-25
3,1.82e-12,34,34,9997.197628527338,586486466089.2882,1.329115346422243e-24
6,4.96496e-12,34,34,9999.313310901027,586610582779.2666,1.1825793395658194e-24
9,1.039945088e-11,34,34,10002.971759485054,586825205982.8025,4.939705591346337e-25
12,1.9790251120639998e-11,34,34,10009.301183000254,587196522162.3705,1.6835708340964574e-24
15,3.601755393646592e-11,34,34,10020.261248121114,587839495333.422,4.822110287747821e-25
18,6.40583332022131e-11,34,34,10039.268698922646,588954569083.5043,1.4009750828485951e-24
21,1.1251279977342424e-10,34,34,10072.319734310273,590893510941.5475,1.3173952198439759e-24
24,1.9624211800847706e-10,39,39,10130.05841142774,594280755443.2131,1.305552300251628e-24
27,3.409263799186483e-10,52,52,10222.865906492487,599725315191.8174,1.9280821778325437e-24
30,5.909407844994243e-10,63,63,10391.102285569135,609594916964.0948,2.4243497590305403e-25
33,8.909407844994242e-10,66,66,10620.565966089076,623056423686.7347,3.9103209727982096e-25
36,1.1409407844994243e-09,68,68,10836.423857022792,635719745583.0582,1.1500099913353933e-24
39,1.3009407844994244e-09,68,68,10967.169013634575,643389921537.2401,2.1653740848496726e-24
42,1.5593407844994244e-09,68,68,11165.880773501285,655047364167.1682,9.623248636802352e-25
45,1.8593407844994246e-09,68,68,11401.89848327503,668893363584.515,9.52155458983295e-25
48,2.159340784499425e-09,68,68,11627.69224304582,682139574088.057,1.4429464192734175e-24
51,2.3193407844994247e-09,68,68,11747.502715716624,689168265860.3071,1.1901557430609056e-24
54,2.4153407844994248e-09,68,68,11824.34975297156,693676503967.0011,9.42850785018157e-25
57,2.572588784499425e-09,68,68,11950.276911007899,701064031616.8151,2.6846321421154053e-24
60,2.836817904499425e-09,68,68,12151.207869540021,712851663728.9551,1.4751725041362991e-24
63,3.136817904499425e-09,68,68,12373.496259611868,725892231415.0336,2.7050789884712685e-24
66,3.4368179044994252e-09,68,68,12596.94463113042,739000849513.3062,7.442793244642787e-25
69,3.7368179044994254e-09,68,68,12819.9060848401,752080902536.0835,2.5403668998816608e-24
72,4.036817904499426e-09,68,68,13039.452955263849,764960638734.1919,1.7707713519306924e-24
75,4.336817904499426e-09,68,68,13258.062569474414,777785390715.2512,2.4270756200741227e-24
78,4.636817904499426e-09,68,68,13484.338787544511,791059904676.7731,2.29001619483486e-24
81,4.936817904499426e-09,68,68,13711.327778325163,804376233511.1896,2.6065988083617357e-24
84,5.2368179044994265e-09,68,68,13931.024077173463,817264735940.7865,3.5107062349863e-24
87,5.536817904499427e-09,68,68,14151.481069421676,830197864514.6761,2.2130077584846728e-24
90,5.836817904499427e-09,68,68,14373.992300916925,843251505212.1891,1.5957489268267677e-24
93,6.136817904499427e-09,68,68,14598.979813785538,856450417171.2765,2.2053588997093455e-24
96,6.436817904499427e-09,68,68,14826.793451451515,869815123986.755,2.1376936845164794e-24
99,6.7368179044994275e-09,68,68,15057.285620570074,883336967082.2496,2.283590771971934e-24
102,7.036817904499428e-09,68,68,15289.606387003912,896966084997.8678,4.0314611207422864e-24
105,7.336817904499428e-09,68,68,15522.02027359791,910600665815.7594,1.1808599297388909e-24
108,7.636817904499426e-09,72,72,15750.377291408353,923997250074.5487,4.43215297233511e-24
111,7.936817904499424e-09,72,72,15979.274794350236,937425541940.4587,3.1621272620946306e-24
114,8.236817904499422e-09,72,72,16211.039209669749,951022021469.694,1.5865141911430302e-24
117,8.53681790449942e-09,72,72,16451.459129727413,965126276935.2189,2.4571595103718794e-24
120,8.836817904499417e-09,76,76,16690.871073154303,979171399364.262,1.3682348443087724e-24
123,9.136817904499415e-09,76,76,16922.499648908568,992759909853.6183,3.332456593101462e-24
126,9.436817904499413e-09,76,76,17154.637190429312,1006378278863.8158,8.346030157212297e-25
129,9.73681790449941e-09,76,76,17388.71762064977,1020110627608.119,7.4933649476319905e-25
132,1.0036817904499408e-08,76,76,17625.560237613136,1034005020277.3019,2.3282160897832126e-24
135,1.0336817904499406e-08,76,76,17865.494563329023,1048080788308.6431,5.365192005673739e-24
138,1.0636817904499404e-08,78,78,18111.54127461927,1062515139969.9263,1.2060987766939242e-24
141,1.0936817904499401e-08,86,86,18358.917231442603,1077027471935.7139,1.9568272401526918e-24
144,1.1236817904499399e-08,86,86,18604.531144010707,1091436433422.419,2.3231419324296197e-24
147,1.1536817904499397e-08,88,88,18853.204062213837,1106024851740.0579,5.366526958391809e-25
150,1.1836817904499395e-08,88,88,19104.67824622849,1120777606559.5269,1.5447503138595711e-24
