step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,34,34,9995.973769221426,586414668276.9426,2.2371934517628376e-24
3,1.82e-12,34,34,9994.268112931924,586314605802.7611,1.170588500786415e-24
6,4.96496e-12,34,34,9991.320704890075,586141695854.3116,1.7653694790659516e-24
9,1.039945088e-11,34,34,9986.227475317019,585842901099.5936,1.6471827030920803e-24
12,1.9790251120639998e-11,34,34,9977.42601698372,585326562782.9839,1.7947762710816353e-24
15,3.601755393646592e-11,34,34,9962.215843568401,584434256640.1604,2.272322770092985e-25
18,6.40583332022131e-11,34,34,9935.927950612962,582892075119.5736,1.113546509131629e-24
21,1.1251279977342424e-10,34,34,9890.48236486021,580226005889.1892,7.771313798895201e-25
24,1.9624211800847706e-10,34,34,9811.870405509619,575614228474.6544,1.4726802359192305e-24
27,3.409263799186483e-10,39,39,9674.292327717227,567543198606.6869,1.1306820693790964e-24
30,5.909407844994243e-10,45,45,9429.206181225034,553165198562.6064,1.9859886427151104e-24
33,8.909407844994242e-10,49,49,9132.71270050768,535771382796.85284,5.584562157882551e-25
36,1.1909407844994243e-09,49,49,8837.15789273135,518432634360.6099,1.0207221482423169e-24
39,1.4909407844994245e-09,49,49,8530.475415766388,500441080246.14105,1.010958573207767e-24
42,1.7909407844994247e-09,51,51,8202.368305652275,481192648169.4871,1.6173565693947088e-24
45,2.090940784499425e-09,51,51,7851.697708564239,460620527172.2273,2.2288860446785277e-24
48,2.390940784499425e-09,49,49,7433.481000579654,436085807719.9015,6.2701495919344725e-25
51,2.6909407844994253e-09,41,41,6828.164093953613,400574838884.1776,1.415704018554726e-24
54,2.8509407844994256e-09,38,38,6543.141982516491,383853991992.3383,2.6542644762213743e-24
57,2.8809407844994253e-09,34,34,5919.478807877326,347266737752.1687,2.440057148288721e-24
60,2.913700784499425e-09,34,34,5931.976271243683,347999902524.65454,2.6958970985450137e-24
63,2.970310064499425e-09,34,34,5953.623268411594,349269825491.28925,1.9763469641213514e-24
66,3.068130900339425e-09,34,34,5991.181530175601,351473184175.68427,1.438484410562679e-24
69,3.237165304670945e-09,34,34,6056.531052552586,355306919574.70593,1.793138140658323e-24
72,3.513704093546414e-09,34,34,6164.654722984991,361650004079.8629,5.81654509005165e-25
75,3.813704093546414e-09,34,34,6283.707596544357,368634251234.5221,7.572455599146799e-25
78,4.113704093546414e-09,34,34,6404.558700875882,375723991753.41833,6.639355251516203e-25
81,4.4137040935464144e-09,34,34,6527.168423532926,382916901768.93335,1.8716231365983957e-24
84,4.713704093546415e-09,34,34,6651.495287160511,390210548008.43945,1.5989972009151964e-24
87,5.013704093546415e-09,34,34,6777.498418220798,397602532622.2936,1.1300321119671193e-24
90,5.313704093546415e-09,34,34,6905.138285693478,405090536519.7602,3.0668264011053558e-24
93,5.613704093546415e-09,34,34,7034.375377806965,412672241739.33185,1.7963106616081695e-24
96,5.9137040935464155e-09,34,34,7165.169113921349,420345267614.2479,4.024712679723997e-24
99,6.213704093546416e-09,34,34,7297.47873863956,428107223225.604,3.616265290724389e-25
102,6.513704093546416e-09,34,34,7431.264808096925,435955794595.6575,1.1342501777285728e-24
105,6.813704093546416e-09,34,34,7566.48958781013,443888768027.6714,1.7059235146250208e-24
108,7.113704093546416e-09,34,34,7703.114733275758,451903894038.0267,1.855879921602004e-24
111,7.4137040935464165e-09,34,34,7841.101245633907,459998884755.22406,1.815052272987095e-24
114,7.713704093546415e-09,36,36,7979.568447454038,468122075161.4062,2.7148387759967888e-24
117,8.013704093546413e-09,36,36,8119.468745684176,476329338292.79614,2.437948586690292e-24
120,8.31370409354641e-09,38,38,8260.22783998519,484586982770.18066,1.5395098196651546e-24
123,8.613704093546408e-09,38,38,8403.268934500229,492978500988.0743,2.868529319312601e-25
126,8.913704093546406e-09,40,40,8547.932520051145,501465202783.3313,2.740268752571707e-24
129,9.213704093546404e-09,41,41,8692.855164949204,509967102317.6606,2.379081464938887e-24
132,9.513704093546401e-09,42,42,8839.00561698001,518541031263.93933,1.4542329748856376e-24
135,9.813704093546399e-09,42,42,8987.245967992689,527237564315.279,1.0120026942424205e-24
138,1.0113704093546397e-08,42,42,9136.795733873423,536010914303.43884,7.895437593448792e-25
141,1.0413704093546395e-08,42,42,9287.47761101202,544850679696.7467,2.2739640290791525e-24
144,1.0713704093546392e-08,42,42,9439.265093148288,553755305503.1493,1.2955251938049864e-24
147,1.101370409354639e-08,44,44,9592.138725330977,562723650396.2437,1.3982192249734506e-24
150,1.1313704093546388e-08,46,46,9744.894531401716,571685083010.2598,2.8491428556485752e-24
