step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,34,34,9995.973769221424,586414668276.9425,1.4360883458965917e-24
3,1.82e-12,34,34,9998.770829650983,586578758069.6749,1.291727188571388e-24
6,4.96496e-12,34,34,10003.60507492747,586862359488.169,1.4250467804748235e-24
9,1.039945088e-11,34,34,10011.961408941099,587352584547.9529,1.4767979962181744e-24
12,1.9790251120639998e-11,34,34,10026.409371519645,588200175525.9187,1.456912427944676e-24
15,3.601755393646592e-11,34,34,10051.39989433944,589666246714.9569,9.96640720844193e-25
18,6.40583332022131e-11,34,34,10094.656041206877,592203872323.2104,1.7918060569390242e-24
21,1.1251279977342424e-10,38,38,10169.616739548756,596601448193.9386,1.3833622185871133e-24
24,1.9624211800847706e-10,68,68,10284.709817695384,603353393607.2153,1.8392532007518062e-24
27,3.409263799186483e-10,68,68,10493.424374172482,615597651167.9891,1.2509503805236121e-24
30,5.909407844994243e-10,68,68,10893.540363958115,639070490417.0178,1.925889929053306e-24
33,8.909407844994242e-10,68,68,11387.337453642947,668039139518.0453,1.664810882367176e-24
36,1.1909407844994243e-09,68,68,11890.418210356971,697552415750.6565,1.862178384292372e-24
39,1.4909407844994245e-09,68,68,12401.24591909956,727520167596.0366,3.704627361535143e-24
42,1.7409407844994247e-09,68,68,12831.918678348016,752785622376.2635,1.5841970960097054e-24
45,1.8284407844994246e-09,68,69,12989.438845657854,762026556655.6582,1.5897524506249137e-24
48,1.8739407844994245e-09,67,68,12991.836137997481,762167194018.7167,3.0030578114954287e-22
51,1.9525647844994245e-09,67,68,13130.461282013504,770299650117.5216,2.933680590412869e-22
54,2.0884270564994243e-09,67,68,13373.813484473323,784575928184.5311,2.7139763032190934e-22
57,2.1959224804994242e-09,67,68,13576.428495923017,796462355407.1644,2.3582423435204306e-22
60,2.313307483507424e-09,67,68,13791.733689810688,809093253283.3375,1.9699651137910611e-22
63,2.516148768705248e-09,68,69,14175.096772695686,831583281795.8015,1.0583190770896804e-22
66,2.812442653546413e-09,68,68,14718.860971573293,863483255692.0441,2.2420320509983364e-24
69,3.1124426535464133e-09,68,68,15245.077865433794,894353815417.3087,2.4676022242775374e-24
72,3.4124426535464135e-09,68,68,15786.291078418306,926104135504.8466,2.2511885793914703e-24
75,3.7124426535464137e-09,70,70,16337.528316996602,958442515923.3824,2.021690033612363e-24
78,4.012442653546414e-09,71,71,16897.385063751335,991286560536.7925,2.0727835999581484e-24
81,4.312442653546414e-09,77,77,17465.38425560784,1024608282398.4183,2.7405944407696424e-24
84,4.612442653546414e-09,83,83,18036.909282023757,1058136847650.3221,2.3098214183773293e-24
87,4.9124426535464145e-09,85,85,18614.27382316105,1092007988539.9072,2.0887605778245255e-24
90,5.212442653546415e-09,89,89,19200.6638568019,1126408610730.134,3.5771484023828065e-24
93,5.512442653546415e-09,90,90,19792.134947776725,1161107313589.6174,2.0052245170507686e-24
96,5.812442653546415e-09,96,96,20387.157544143014,1196014365820.968,3.2174053407876307e-24
99,6.112442653546415e-09,97,97,20987.91556833736,1231257887423.374,6.984483915016552e-25
102,6.4124426535464155e-09,104,104,21592.000519287703,1266696583472.5164,1.9742083114365483e-24
105,6.712442653546416e-09,105,105,22200.01885451139,1302366031851.2576,2.923830136371654e-24
108,7.012442653546416e-09,112,112,22811.389034656146,1338232116503.0513,3.968517450139097e-24
111,7.312442653546416e-09,116,116,23426.508740024194,1374318167377.3232,1.5927823396071754e-24
114,7.612442653546415e-09,125,125,24045.0324573395,1410603914907.7642,2.4931493581326967e-24
117,7.912442653546412e-09,127,127,24667.025544593605,1447093193326.6167,1.9489269152778706e-24
120,8.21244265354641e-09,129,129,25292.871001113475,1483808471322.6208,3.2652872927114363e-24
123,8.512442653546408e-09,130,130,25921.71229618248,1520699500446.9856,1.8626714806559174e-24
126,8.812442653546406e-09,130,130,26553.524809877646,1557764836369.794,2.96549609881538e-24
129,9.112442653546403e-09,133,133,27187.778238980638,1594973368806.7405,4.1945454695273704e-24
132,9.412442653546401e-09,135,135,27824.832061619138,1632346186573.3694,3.0294673036765077e-24
135,9.712442653546399e-09,136,136,28464.586355257255,1669877427705.4443,3.209861053839769e-24
138,1.0012442653546396e-08,136,136,29107.277364028247,1707580951485.5364,2.459849013833517e-24
141,1.0312442653546394e-08,141,141,29751.967303642246,1745401742716.9316,2.407929792463006e-24
144,1.0612442653546392e-08,145,145,30398.881047287676,1783352993604.7356,2.8626325284901436e-24
147,1.091244265354639e-08,147,147,31048.57706982993,1821467467125.3718,2.8942033756778475e-24
150,1.1212442653546387e-08,154,154,31700.641444562687,1859720880232.7078,2.6724478778050765e-24
