step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,144,144,41350.69769531235,303230283410.21533,3.0852935294233e-25
2,1.1e-12,144,144,41355.650840968694,303266605500.16437,4.864477104546736e-25
4,2.684e-12,144,144,41362.78377098062,303318912244.90173,3.9273109858699276e-25
6,4.96496e-12,144,144,41373.05601979412,303394240040.86615,4.39475435033655e-25
8,8.2495424e-12,144,144,41387.84977715198,303502724673.2025,2.7475221171424406e-25
10,1.2979341055999999e-11,144,144,41409.156348870005,303658968657.9633,3.5767664987610196e-25
12,1.9790251120639998e-11,144,144,41439.8451881556,303884014085.3143,5.133522823589281e-25
14,2.9597961613721594e-11,144,144,41484.05237862296,304208191418.25696,4.1342844302920342e-25
16,4.37210647237591e-11,144,144,41547.742262954314,304675237991.89557,5.200865067431988e-25
18,6.40583332022131e-11,144,144,41639.520755554295,305348262145.61395,5.217090392139103e-25
20,9.334399981118687e-11,144,144,41771.81607191033,306318401671.87,4.841650995908136e-25
22,1.355153597281091e-10,144,144,41962.597519591494,307717427944.0755,4.277474451104563e-25
24,1.9624211800847706e-10,144,144,42237.88866620809,309736175318.64124,3.448370894035674e-25
26,2.8368864993220693e-10,164,164,42634.90753561068,312647568620.2782,6.4004535725682305e-25
28,4.0961165590237797e-10,209,209,43196.51450757837,316765908836.1973,4.300659126950127e-25
30,5.909407844994243e-10,263,263,44002.28069008044,322674701710.32983,3.5980858918246124e-25
32,7.887543793325656e-10,283,283,44897.624750493065,329240381331.72473,1.0501937919675397e-24
34,9.887543793325655e-10,288,288,45826.19782296803,336049733812.5076,7.895074101839359e-25
36,1.1887543793325657e-09,288,288,46770.39544383148,342973663229.1117,6.555794248608548e-25
38,1.3887543793325658e-09,288,288,47723.163776688736,349960442841.0391,6.538501841773416e-25
40,1.588754379332566e-09,288,288,48682.06089364423,356992165659.3125,4.761018414078671e-25
42,1.788754379332566e-09,288,288,49646.6912632741,364065931198.27045,6.051396871218991e-25
44,1.988754379332566e-09,288,288,50616.78542802654,371179763489.0814,5.927633153451589e-25
46,2.188754379332566e-09,288,288,51592.11432336771,378331982770.4021,1.1349887503769287e-24
48,2.3887543793325663e-09,288,288,52572.46650471493,385521038490.3844,8.0056578642254375e-25
50,2.5887543793325664e-09,288,288,53557.648448485736,392745511514.309,5.704953973380686e-25
52,2.7887543793325666e-09,288,288,54547.492024434745,400004168920.2474,8.852705999848366e-25
54,2.9887543793325667e-09,288,288,55541.83078339797,407295790113.8691,6.590068750257015e-25
56,3.188754379332567e-09,288,288,56540.52510844698,414619351265.27167,6.676382252075894e-25
58,3.388754379332567e-09,288,288,57543.48467202525,421974189990.213,4.9791129892482565e-25
60,3.588754379332567e-09,288,288,58550.6596340357,429359940804.4906,1.0277438584093586e-24
62,3.788754379332567e-09,288,288,59562.01439906159,436776342682.0783,1.0965854852273246e-24
64,3.988754379332567e-09,288,288,60577.59305379829,444223718916.7019,9.174520369131393e-25
66,4.188754379332567e-09,288,288,61597.52032162433,451702984121.8391,7.9562684407769535e-25
68,4.388754379332567e-09,288,288,62622.12844551301,459216574680.34607,9.690116149481393e-25
70,4.588754379332567e-09,288,288,63652.1271642627,466769695203.2443,1.285406476008083e-24
72,4.7887543793325675e-09,292,292,64688.808703986564,474371821760.1619,6.439322515531817e-25
74,4.988754379332568e-09,298,298,65730.41365381677,482010052352.201,1.065356005089188e-24
76,5.188754379332568e-09,301,301,66772.555125777,489652217333.90247,7.528298081450086e-25
78,5.388754379332568e-09,304,304,67815.97215171377,497303736126.1893,7.4251521630023695e-25
80,5.588754379332568e-09,307,307,68861.29986334438,504969266236.2226,9.040910479332786e-25
82,5.788754379332568e-09,309,309,69910.33609272097,512661991410.664,1.3032959382914558e-24
84,5.988754379332568e-09,312,312,70964.00378061345,520388679699.5545,1.0019574117649598e-24
86,6.1887543793325685e-09,317,317,72023.94771156283,528161392531.36615,1.2466821233645705e-24
88,6.388754379332569e-09,323,323,73090.59053204299,535983229230.1055,1.843163110769803e-24
90,6.588754379332569e-09,334,334,74155.38588355045,543791518187.9019,1.4666249364188885e-24
92,6.788754379332569e-09,342,342,75217.12216108965,551577374540.7349,1.0352995391643594e-24
94,6.988754379332569e-09,348,348,76279.34601205646,559366806335.7458,6.825987266242367e-25
96,7.188754379332569e-09,361,361,77342.65103427776,567164166506.4358,7.170550398477294e-25
98,7.388754379332569e-09,363,363,78408.41302670467,574979543973.4062,1.4319619949975842e-24
100,7.588754379332569e-09,367,367,79476.85701767032,582814588899.9924,8.137735416509347e-25
